model,hidden_channels,out_channels,dropout,lr,ratio
gcn,64,128,0.6,0.1,
gin,128,128,0.4,0.001,
gat,256,128,0.4,0.01,
sage,128,128,0.4,0.01,
topk,64,128,0.4,0.01,0.7
sag,64,128,0.4,0.001,0.5
edgepool,128,128,0.4,0.001,
asap,256,128,0.6,0.001,0.7
diff,128,128,0.2,0.001,0.5
mincut,128,128,0.2,0.001,0.5
topk_e,64,128,0.6,0.01,0.7
sag_e,64,128,0.4,0.01,0.7
edgepool_e,256,128,0.2,0.001,
haar,128,128,0.4,0.001,
diff_e,128,128,0.2,0.001,0.5
mincut_e,128,128,0.6,0.001,0.7
